mjd	dtmin	re	ure	im	uim	abs	uabs	nsamp
58403.456934999995	0.0	-224.20570506146908	235.61779704348868	-408.78939155891067	232.58625566457437	466.23702645029687	233.29079808466622	462
58403.45705074074	0.16666667419485748	-69.02658921505038	176.7959226926815	21.66467250796825	172.662991274365	72.34658287397424	176.42925649217466	563
58403.45716648148	0.333333337912336	167.02257850065772	176.29759170083048	142.40176352462746	182.17012462933457	219.48759414584754	178.7930314287439	556
58403.45728222222	0.5000000016298145	43.76381242130432	184.19455021095143	-21.827300114860343	181.71804068000935	48.90503356456565	183.70388831819298	552
58403.45739796296	0.666666665347293	-62.798618091054834	178.95282310219466	26.955514523818525	170.4798576846892	68.33934589524509	177.66114522804574	563
58403.4575137037	0.8333333395421505	-196.508693021458	182.04318501092055	196.5663994510242	184.94021004497432	277.9460663980356	183.49784012414662	552
58403.45762944444	1.000000003259629	-214.21199194500568	165.0624354230464	-33.05138597893785	169.01844865498802	216.74679145993352	165.1554996344966	568
58403.45774518518	1.1666666669771075	-68.95798638425669	178.90929543309556	-367.2129565961106	171.61556381873004	373.6315824153899	171.86910191957963	582
58403.457860925926	1.333333341171965	58.77059060161361	171.31932984207378	-16.40119965094697	171.22733041908558	61.01624103181625	171.31268419559842	589
58403.457976666665	1.5000000048894435	-151.74978709919105	174.42213814251656	-227.8670589861089	177.43467340702443	273.77252319330483	176.51457650234138	569
58403.4580924074	1.666666668606922	-124.58530490945549	161.04299653117081	-170.50566453798243	164.3445278309995	211.1721568742456	163.2029582879674	583
58403.45820814814	1.8333333323244005	79.7211314512853	174.98839507369726	98.48274741887651	174.46287307614242	126.70560500247548	174.67110181145972	578
58403.45832388889	2.000000006519258	199.70001842097085	163.19113781030848	64.73244064162672	172.4320239745554	209.92947917993277	164.09216687409398	595
58403.45843962963	2.1666666702367365	431.7693107405043	179.24055142406024	24.223656772283153	166.7552293554982	432.44828967721855	179.20273668211712	584
58403.458555370366	2.333333333954215	-98.19080504407752	162.73627764784808	-26.707910951825788	158.37391742067797	101.75827584336665	162.43952284200387	585
58403.45867111111	2.5000000081490725	-234.10498061734873	160.38488347951753	-127.7890632563081	159.47975322900768	266.7118044589964	160.1775508868152	598
58403.45878685185	2.666666671866551	-88.06619840993068	155.41261085070198	-9.713345054639685	164.48381990825652	88.60025042023172	155.52477894895276	595
58403.45890259259	2.8333333355840296	-121.69010673763837	156.29007041734258	23.07453586346452	157.79738921842915	123.858452610761	156.34262807021258	603
58403.45901833333	2.999999999301508	92.32924646343265	160.11131445398095	119.59460322561837	159.5276890752751	151.08791769429607	159.74588672646104	603
58403.45913407407	3.1666666734963655	41.742239764825314	160.48437684396487	-54.92541207258611	161.01934524086002	68.98706742518884	160.82369240712714	603
58403.45924981481	3.333333337213844	-17.74396418511517	159.45477853166716	-183.17497276323837	165.07996778968646	184.03238549726993	165.0285569859512	601
58403.45936555555	3.5000000009313226	14.931620927010588	156.89537987925814	100.07285144344738	162.24813458859083	101.18067453585307	162.1334444829258	603
58403.4594812963	3.66666667512618	308.92257755847066	150.61316991013538	172.56123949039045	160.38359648043362	353.85101426988905	152.99331791880633	605
58403.459597037036	3.8333333388436586	25.553671415754046	156.1869501082185	-33.986416501547986	159.8652226087495	42.521366740040456	158.5466452458212	606
58403.459712777774	4.000000002561137	-155.49335123301591	158.42263655008082	49.037922996306165	159.66982169719944	163.04263298127182	158.53586190119768	606
58403.45982851851	4.166666666278616	-25.82828058174475	159.94667043684325	124.17544969545646	147.89537701446577	126.83312810491655	148.41458448364452	603
58403.45994425926	4.333333340473473	-102.45096088101042	157.02224261135078	3.076358020436771	170.90346963719693	102.49713832157576	157.03529964045828	607
58403.46006	4.500000004190952	-124.95984780672799	160.87084715018975	-49.011153161634084	156.32095642254083	134.22763015904653	160.27170335317382	606
58403.460175740736	4.66666666790843	-57.86806578766794	159.89655215325988	163.397097703222	149.76554698426025	173.34164120557455	150.9283018647559	607
58403.460291481475	4.833333331625909	99.73090048022884	148.29128021095994	135.94823188924167	154.70512502159514	168.6065664925549	152.49177752943592	607
58403.46040722222	5.000000005820766	-141.29308374053983	153.45515199547867	143.85556525240338	165.69975216419363	201.63868469864528	159.80476026093646	604
58403.46052296296	5.166666669538245	-462.85030155447697	153.0236301247221	-187.1085020296911	154.81541025572577	499.2394146908527	153.27657764985682	606
58403.4606387037	5.333333333255723	-16.42122928299916	155.26563567312655	-26.192507307697216	159.4424189132717	30.914466034990824	158.27508127183674	609
58403.460754444444	5.500000007450581	-19.20142723776157	156.70709030346015	80.0135842712833	146.28543663497416	82.28528711686438	146.87196677149726	607
58403.46087018518	5.666666671168059	-21.472996680386093	155.06425446162925	-216.07610366282887	152.1649433808379	217.1404434013743	152.19356378288873	606
58403.46098592592	5.833333334885538	188.9408402670522	144.84456499758676	106.36977015439298	143.76837448419968	216.8252040781194	144.58629316794622	609
58403.46110166666	5.999999998603016	-31.634961938375664	158.71740564469525	-38.480719049940355	156.69386478120157	49.81502339097031	157.51305996419978	608
58403.46121740741	6.166666672797874	1.1942557769333353	155.28616907987748	106.27959661231303	153.96459206358873	106.28630628136777	153.96475963203363	609
58403.461333148145	6.333333336515352	104.08946991151298	151.5204216211329	-23.025869238833184	163.79309359381332	106.60585537700831	152.1149864940811	608
58403.461448888884	6.500000000232831	-148.71810953329515	150.38381178387652	193.24250288794065	161.45784742892195	243.84368153707186	157.42968279958038	609
58403.46156462963	6.666666674427688	190.61936318420194	156.714530847265	161.61737836763024	147.72690647770128	249.91182167151766	153.01998046242898	609
